Keyword,Lyrics,Song,Album,Artist
ride,"The way things goin', gotta ride 'round with an FN",THE WAY THINGS GOING,I NEVER LIKED YOU (EXTENDED),Future
whips,"Try to pass out new whips, yeah, but all you want is me",WORST DAY,I NEVER LIKED YOU (EXTENDED),Future
whips,"Try to pass out new whips, yeah, but all you want is me (All you want is me)",WORST DAY,I NEVER LIKED YOU (EXTENDED),Future
whips,"Had to pass out new whips, yeah, but all you want is me",WORST DAY,I NEVER LIKED YOU (EXTENDED),Future
coupe,"My first Bentley coupe, I adapted (Pluto)",I’M DAT NIGGA,I NEVER LIKED YOU (EXTENDED),Future
coupe,"Did my numbers, my coupe it's a gadget (Skrr)",I’M DAT NIGGA,I NEVER LIKED YOU (EXTENDED),Future
lamb,"He bought the Demon, then the Lamb', nigga just like me",LIKE ME,I NEVER LIKED YOU (EXTENDED),Future
lamb,"Had to place another order, bought more Lamb' trucks",AFFILIATED,I NEVER LIKED YOU (EXTENDED),Future
maybach,Dropped a Maybach truck on a watch and it was plain jane,712PM,I NEVER LIKED YOU (EXTENDED),Future
maybach,"Big top Maybach, Benz, buy 'em buy the twin",HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
phantom,"Got more K in the Phantom, you wanna ride the Honda Civic",STAYED DOWN,I NEVER LIKED YOU (EXTENDED),Future
phantom,Phantom like a ,HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
rari,"'Rari with the wing on it, I spent like seven tens",THE WAY THINGS GOING,I NEVER LIKED YOU (EXTENDED),Future
rari,the Rari got too many horses,I’M DAT NIGGA,I NEVER LIKED YOU (EXTENDED),Future
rolls,"Lewinsky, she just gave me her throat inside the Rolls-y",HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
rolls,"Rolls key, pass the Lambo key, and the other key",HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
rolls-royce,"Drop-top Rolls-Royce like I ain't got a choice, yeah, yeah",WE JUS WANNA GET HIGH,I NEVER LIKED YOU (EXTENDED),Future
rolls-royce,"I got the Midas touch, extended Rolls-Royce Ghost",WE JUS WANNA GET HIGH,I NEVER LIKED YOU (EXTENDED),Future
whip,"Had the bulletproof whip, we'll crash it (Crash it)",CHICKENS,I NEVER LIKED YOU (EXTENDED),Future
whip,"Roadkill, every time I pop out in a new whip",HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
aventador,"Avoidin' the hurt, ridin' in circles in a Aventador",WORST DAY,I NEVER LIKED YOU (EXTENDED),Future
bugatti,"For the Bugatti, sign me up",JUST THE BEGINNING,I NEVER LIKED YOU (EXTENDED),Future
donuts,I'm in a foreign doin' donuts (Skrr),I’M DAT NIGGA,I NEVER LIKED YOU (EXTENDED),Future
double r,"I'm in the real rare, nigga, automobile, that's a double R",GOLD STACKS,I NEVER LIKED YOU (EXTENDED),Future
driveway,Hunnid racks just to pull up in the driveway (Street),STAYED DOWN,I NEVER LIKED YOU (EXTENDED),Future
drop-top,"Drop-top Rolls-Royce like I ain't got a choice, yeah, yeah",WE JUS WANNA GET HIGH,I NEVER LIKED YOU (EXTENDED),Future
exotic,"Everything I smoke exotic, nigga, all purple (Yeah)",STAYED DOWN,I NEVER LIKED YOU (EXTENDED),Future
gt3,"That GT3, it go two-sixty",I’M DAT NIGGA,I NEVER LIKED YOU (EXTENDED),Future
laferrari,"LaFerrari, buy them, two at a time",KEEP IT BURNIN,I NEVER LIKED YOU (EXTENDED),Future
lambo,"Rolls key, pass the Lambo key, and the other key",HOLY GHOST,I NEVER LIKED YOU (EXTENDED),Future
lamborghini,"Lamborghini 'round my neck, Eliantte (Eliantte)",STAYED DOWN,I NEVER LIKED YOU (EXTENDED),Future
lamborghinis,"Money bags everywhere, Lamborghinis, yeah",STAYED DOWN,I NEVER LIKED YOU (EXTENDED),Future
sports car,I got a sports car on my wrist and I'm bird fly,STAYED DOWN,I NEVER LIKED YOU (EXTENDED),Future
wing,"'Rari with the wing on it, I spent like seven tens",THE WAY THINGS GOING,I NEVER LIKED YOU (EXTENDED),Future
wings,"Driving a spaceship, the one with the wings",PUFFIN ON ZOOTIEZ,I NEVER LIKED YOU (EXTENDED),Future
zero to sixty,"Zero to sixty, I get lost in a turbo",STAYED DOWN,I NEVER LIKED YOU (EXTENDED),Future
